id,video_id,kc_id,start_sec,end_sec,relevance,note
vk001,DZaSr9KVCR8,kc.orient.mesopotamia_dynasty_order,0,,1.0,手で割り当てた
vk002,DZaSr9KVCR8,kc.orient.hammurabi_code_principle,0,,0.8,手で割り当てた
vk003,mKsMgbGtToQ,kc.orient.egypt_kingdom_periods,0,,1.0,手で割り当てた
vk004,-W_jXJ5T8hE,kc.orient.east_med_three_peoples,0,,1.0,手で割り当てた
vk005,eJswYizWw8U,kc.orient.assyria_vs_achaemenid_rule,0,,1.0,手で割り当てた
vk006,eJswYizWw8U,kc.orient.unification_extent_geo,0,,0.9,手で割り当てた
vk007,7tK4vuo9avM,kc.greece.polis_formation_causes,0,,0.7,手で割り当てた
vk008,8Vks-mjABOw,kc.greece.polis_formation_causes,0,,1.0,手で割り当てた
vk009,Dn7eRxf0Mr0,kc.greece.athens_vs_sparta,0,,1.0,手で割り当てた
vk010,Dn7eRxf0Mr0,kc.greece.athens_democracy_steps,0,,0.9,手で割り当てた
vk011,XGEyLWHoHV4,kc.greece.hellenistic_kingdoms_geo,0,,0.9,手で割り当てた
vk012,q-P5HeHb7fI,kc.rome.plebeian_rights_causes,0,,1.0,手で割り当てた
vk013,90oS782rUTc,kc.rome.gracchus_to_principate,0,,1.0,手で割り当てた
vk014,90oS782rUTc,kc.rome.principate_vs_dominate,0,,0.9,手で割り当てた
vk015,WtgixU5o3WI,kc.china.fengjian_vs_junxian,0,,1.0,手で割り当てた
vk016,lSYfNHMtwL0,kc.china.hundred_schools_positions,0,,1.0,手で割り当てた
vk017,lSYfNHMtwL0,kc.china.warring_states_geo,0,,0.9,手で割り当てた
vk018,TWWDdydovSk,kc.china.qin_unification_causes,0,,1.0,手で割り当てた
vk019,TWWDdydovSk,kc.china.qin_fall_causes,0,,0.9,手で割り当てた
vk020,KYas8kZOv3Y,kc.china.han_junguo_to_junxian,0,,1.0,手で割り当てた
vk021,KYas8kZOv3Y,kc.china.wudi_policies,0,,0.9,手で割り当てた
vk022,thcGz6o0egQ,kc.china.wudi_policies,0,,0.8,手で割り当てた
vk023,_2Yx0ZG9xfU,kc.islam.hijra_and_umma,0,,1.0,手で割り当てた
vk024,_2Yx0ZG9xfU,kc.islam.arab_conquest_causes,0,,0.8,手で割り当てた
vk025,ojd2bp42Xmo,kc.islam.rashidun_vs_umayyad_succession,0,,1.0,手で割り当てた
vk026,ojd2bp42Xmo,kc.islam.umayyad_vs_abbasid,0,,0.9,手で割り当てた
vk027,IGiWjrV5qOA,kc.euro.feudal_two_layers,0,,1.0,手で割り当てた
vk028,__8fyVDRwiA,kc.medcult.black_death_effects,0,,1.0,手で割り当てた
vk029,nn5tW4zhfe0,kc.renaissance.why_italy,0,,1.0,手で割り当てた
vk030,slK8dkezyYc,kc.renaissance.humanism,0,,1.0,手で割り当てた
vk031,Gc3oMuvu8ZQ,kc.renaissance.northern,0,,1.0,手で割り当てた
vk032,Gc3oMuvu8ZQ,kc.renaissance.printing_effects,0,,0.9,手で割り当てた
vk033,y-0SBaEzpU4,kc.voyage.motives,0,,1.0,手で割り当てた
vk034,y-0SBaEzpU4,kc.voyage.two_routes_geo,0,,0.9,手で割り当てた
vk035,GuvHg9j0JhQ,kc.reformation.luther_causes,0,,1.0,手で割り当てた
vk036,qe3WU6ptW1Y,kc.reformation.settlement_order,0,,0.7,手で割り当てた
vk037,NYqYDndUmF0,kc.industrial.why_britain,0,,1.0,手で割り当てた
vk038,NYqYDndUmF0,kc.industrial.textile_inventions,0,,0.9,手で割り当てた
vk039,gQjoAQK1hpc,kc.industrial.social_change,0,,1.0,手で割り当てた
vk040,gQjoAQK1hpc,kc.industrial.labour_to_socialism,0,,0.9,手で割り当てた
vk041,eiacQ80QmGU,kc.frrev.causes,0,,0.7,手で割り当てた
vk042,XFCFAE4Zra4,kc.frrev.causes,0,,1.0,手で割り当てた
vk043,XFCFAE4Zra4,kc.frrev.stages_order,0,,0.9,手で割り当てた
vk044,lgB7c7L1p3g,kc.frrev.declaration_vs_code,0,,1.0,手で割り当てた
vk045,lgB7c7L1p3g,kc.frrev.napoleonic_europe_geo,0,,0.9,手で割り当てた
vk046,2sSvXI3cvg4,kc.frrev.napoleon_fall,0,,1.0,手で割り当てた
vk047,V0IrRYbjYGE,kc.imperialism.causes,0,,0.8,手で割り当てた
vk048,WYfOwFm36eE,kc.ww1.causes,0,,0.7,手で割り当てた
vk049,Pe2sMV9YfJs,kc.ww1.causes,0,,1.0,手で割り当てた
vk050,fhcuGhsbVw0,kc.ww1.causes,0,,0.9,手で割り当てた
vk051,fhcuGhsbVw0,kc.ww1.fronts_geo,0,,0.9,手で割り当てた
vk052,VqOnt0EEjUA,kc.ww1.turning_points,0,,1.0,手で割り当てた
vk053,VqOnt0EEjUA,kc.ww1.total_war,0,,0.9,手で割り当てた
vk054,8CD01Xrs4l8,kc.ww2.axis_extent_geo,0,,0.9,手で割り当てた
vk055,Ri-NJkIi2w0,kc.coldwar.origin,0,,1.0,手で割り当てた
vk056,Vut73bew4Nk,kc.coldwar.origin,0,,0.9,手で割り当てた
vk057,Vut73bew4Nk,kc.coldwar.marshall_vs_comecon,0,,1.0,手で割り当てた
