id,subject,parent_id,level,label,ord
wh.1,world_history,,1,世界史へのまなざし,1
wh.1.1,world_history,wh.1,2,地球環境からみる人類の歴史,1
wh.1.1.1,world_history,wh.1.1,3,人類の誕生と拡散,1
wh.1.1.2,world_history,wh.1.1,3,農耕・牧畜の開始と定住,2
wh.1.2,world_history,wh.1,2,日常生活からみる世界の歴史,2
wh.1.2.1,world_history,wh.1.2,3,生活・文化から歴史を問う,1
wh.2,world_history,,1,諸地域の歴史的特質の形成,2
wh.2.1,world_history,wh.2,2,古代オリエントと地中海世界,1
wh.2.1.1,world_history,wh.2.1,3,古代オリエント世界,1
wh.2.1.2,world_history,wh.2.1,3,ギリシア世界,2
wh.2.1.3,world_history,wh.2.1,3,ローマ世界とキリスト教,3
wh.2.2,world_history,wh.2,2,南アジア・東南アジアの古代世界,2
wh.2.2.1,world_history,wh.2.2,3,南アジアの古代文明と諸王朝,1
wh.2.2.2,world_history,wh.2.2,3,東南アジアの諸国家,2
wh.2.3,world_history,wh.2,2,東アジア世界の形成,3
wh.2.3.1,world_history,wh.2.3,3,中国の古代文明と秦漢帝国,1
wh.2.3.2,world_history,wh.2.3,3,魏晋南北朝と隋唐帝国,2
wh.2.3.3,world_history,wh.2.3,3,東アジア文化圏の形成,3
wh.2.4,world_history,wh.2,2,内陸アジアと諸地域の交流,4
wh.2.4.1,world_history,wh.2.4,3,遊牧国家とオアシス都市,1
wh.2.4.2,world_history,wh.2.4,3,東西交易路と文化の伝播,2
wh.2.5,world_history,wh.2,2,イスラーム世界の形成,5
wh.2.5.1,world_history,wh.2.5,3,イスラーム教の成立と大征服,1
wh.2.5.2,world_history,wh.2.5,3,イスラーム諸王朝の展開,2
wh.2.6,world_history,wh.2,2,ヨーロッパ世界の形成,6
wh.2.6.1,world_history,wh.2.6,3,ゲルマン人の移動とフランク王国,1
wh.2.6.2,world_history,wh.2.6,3,ビザンツ帝国とスラヴ世界,2
wh.2.6.3,world_history,wh.2.6,3,封建社会とローマ=カトリック教会,3
wh.3,world_history,,1,諸地域の交流・再編,3
wh.3.1,world_history,wh.3,2,イスラーム世界の拡大,1
wh.3.1.1,world_history,wh.3.1,3,トルコ・イラン系王朝の台頭,1
wh.3.1.2,world_history,wh.3.1,3,アフリカ・インド・東南アジアのイスラーム化,2
wh.3.2,world_history,wh.3,2,東アジアの再編,2
wh.3.2.1,world_history,wh.3.2,3,宋と北方民族,1
wh.3.2.2,world_history,wh.3.2,3,モンゴル帝国と元,2
wh.3.3,world_history,wh.3,2,中世ヨーロッパの変容,3
wh.3.3.1,world_history,wh.3.3,3,十字軍と商業の復活,1
wh.3.3.2,world_history,wh.3.3,3,教皇権の衰退と国家の形成,2
wh.3.3.3,world_history,wh.3.3,3,中世文化と黒死病,3
wh.3.4,world_history,wh.3,2,アジア諸帝国の繁栄,4
wh.3.4.1,world_history,wh.3.4,3,明と清の成立,1
wh.3.4.2,world_history,wh.3.4,3,オスマン帝国とサファヴィー朝,2
wh.3.4.3,world_history,wh.3.4,3,ムガル帝国,3
wh.3.5,world_history,wh.3,2,大航海時代とヨーロッパの拡大,5
wh.3.5.1,world_history,wh.3.5,3,大航海時代,1
wh.3.5.2,world_history,wh.3.5,3,アメリカ大陸の征服と大西洋世界,2
wh.3.6,world_history,wh.3,2,近世ヨーロッパの形成,6
wh.3.6.1,world_history,wh.3.6,3,ルネサンス,1
wh.3.6.2,world_history,wh.3.6,3,宗教改革,2
wh.3.6.3,world_history,wh.3.6,3,主権国家体制と絶対王政,3
wh.4,world_history,,1,諸地域の結合・変容,4
wh.4.1,world_history,wh.4,2,産業革命と環大西洋革命,1
wh.4.1.1,world_history,wh.4.1,3,産業革命,1
wh.4.1.2,world_history,wh.4.1,3,アメリカ独立革命,2
wh.4.1.3,world_history,wh.4.1,3,フランス革命とナポレオン,3
wh.4.2,world_history,wh.4,2,ヨーロッパの再編と国民国家,2
wh.4.2.1,world_history,wh.4.2,3,ウィーン体制と自由主義・ナショナリズム,1
wh.4.2.2,world_history,wh.4.2,3,イタリア・ドイツの統一,2
wh.4.2.3,world_history,wh.4.2,3,19世紀の欧米社会,3
wh.4.3,world_history,wh.4,2,アジア諸地域の動揺,3
wh.4.3.1,world_history,wh.4.3,3,オスマン帝国とイランの改革,1
wh.4.3.2,world_history,wh.4.3,3,インドの植民地化,2
wh.4.3.3,world_history,wh.4.3,3,清の動揺と東アジアの開国,3
wh.4.4,world_history,wh.4,2,帝国主義と世界分割,4
wh.4.4.1,world_history,wh.4.4,3,帝国主義と列強の対立,1
wh.4.4.2,world_history,wh.4.4,3,アフリカ・太平洋の分割,2
wh.4.4.3,world_history,wh.4.4,3,アジアの民族運動,3
wh.4.5,world_history,wh.4,2,第一次世界大戦とヴェルサイユ体制,5
wh.4.5.1,world_history,wh.4.5,3,第一次世界大戦,1
wh.4.5.2,world_history,wh.4.5,3,ロシア革命,2
wh.4.5.3,world_history,wh.4.5,3,ヴェルサイユ・ワシントン体制,3
wh.4.6,world_history,wh.4,2,世界恐慌と第二次世界大戦,6
wh.4.6.1,world_history,wh.4.6,3,世界恐慌とファシズム,1
wh.4.6.2,world_history,wh.4.6,3,第二次世界大戦,2
wh.5,world_history,,1,地球世界の課題,5
wh.5.1,world_history,wh.5,2,冷戦と第三世界,1
wh.5.1.1,world_history,wh.5.1,3,冷戦の始まりと東西陣営,1
wh.5.1.2,world_history,wh.5.1,3,アジア・アフリカの独立,2
wh.5.1.3,world_history,wh.5.1,3,冷戦下の地域紛争,3
wh.5.2,world_history,wh.5,2,冷戦の終結と現代の課題,2
wh.5.2.1,world_history,wh.5.2,3,緊張緩和と冷戦の終結,1
wh.5.2.2,world_history,wh.5.2,3,グローバル化と現代の諸課題,2
gh.1,general_history,,1,歴史の扉,1
gh.1.1,general_history,gh.1,2,歴史と私たち,1
gh.1.1.1,general_history,gh.1.1,3,資料から歴史を考える,1
gh.2,general_history,,1,近代化と私たち,2
gh.2.1,general_history,gh.2,2,結び付く世界とアジアの変容,1
gh.2.1.1,general_history,gh.2.1,3,18世紀のアジアの繁栄,1
gh.2.1.2,general_history,gh.2.1,3,大西洋三角貿易と世界の一体化,2
gh.2.2,general_history,gh.2,2,欧米の産業革命と国民国家,2
gh.2.2.1,general_history,gh.2.2,3,産業革命と社会の変化,1
gh.2.2.2,general_history,gh.2.2,3,市民革命と国民国家の形成,2
gh.2.3,general_history,gh.2,2,日本の開国と明治維新,3
gh.2.3.1,general_history,gh.2.3,3,開国と幕末の動乱,1
gh.2.3.2,general_history,gh.2.3,3,明治維新と近代国家の形成,2
gh.2.4,general_history,gh.2,2,立憲体制と日清・日露戦争,4
gh.2.4.1,general_history,gh.2.4,3,大日本帝国憲法と初期議会,1
gh.2.4.2,general_history,gh.2.4,3,日清・日露戦争と国際関係,2
gh.3,general_history,,1,国際秩序の変化や大衆化と私たち,3
